id,latency_s,model,mrr,top1
Q06,0.10096720000001369,MiniLM-L6-v2,1.0,True
Q07,0.03060430000004999,MiniLM-L6-v2,1.0,True
Q08,0.02118230000087351,MiniLM-L6-v2,1.0,True
Q09,0.019680700001117657,MiniLM-L6-v2,1.0,True
Q10,0.021875200000067707,MiniLM-L6-v2,1.0,True
Q11,0.031757299999298993,MiniLM-L6-v2,1.0,True
Q12,0.022833799999716575,MiniLM-L6-v2,1.0,True
Q13,0.04290239999863843,MiniLM-L6-v2,0.25,False
Q14,0.01947470000050089,MiniLM-L6-v2,1.0,True
Q15,0.021934400001555332,MiniLM-L6-v2,1.0,True
Q06,0.14732769999864104,MPNet-base-v2,1.0,True
Q07,0.15027079999890702,MPNet-base-v2,1.0,True
Q08,0.14519109999855573,MPNet-base-v2,1.0,True
Q09,0.15046040000015637,MPNet-base-v2,1.0,True
Q10,0.1621915000014269,MPNet-base-v2,1.0,True
Q11,0.11199160000069242,MPNet-base-v2,0.5,False
Q12,0.10200720000102592,MPNet-base-v2,1.0,True
Q13,0.10135079999963637,MPNet-base-v2,1.0,True
Q14,0.10439109999970242,MPNet-base-v2,1.0,True
Q15,0.142847700000857,MPNet-base-v2,1.0,True
